"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.01591","1591",81,54
"10.21105/joss.02018","2018",127,86
"10.21105/joss.05811","5811",83,55
"10.21105/joss.01273","1273",74,40
"10.21105/joss.03839","3839",57,31
"10.21105/joss.04565","4565",63,43
"10.21105/joss.01857","1857",32,19
"10.21105/joss.05742","5742",56,34
"10.21105/joss.03358","3358",81,43
"10.21105/joss.05284","5284",76,52
"10.21105/joss.01778","1778",35,18
"10.21105/joss.05492","5492",84,57
"10.21105/joss.05072","5072",123,89
"10.21105/joss.01725","1725",77,49
"10.21105/joss.06436","6436",107,69
"10.21105/joss.06441","6441",119,77
"10.21105/joss.02844","2844",57,35
"10.21105/joss.01132","1132",48,31
"10.21105/joss.06032","6032",102,77
"10.21105/joss.06605","6605",65,40
"10.21105/joss.03171","3171",42,24
"10.21105/joss.04593","4593",49,31
"10.21105/joss.01705","1705",112,75
"10.21105/joss.00295","295",22,19
"10.21105/joss.04298","4298",107,79
"10.21105/joss.03428","3428",89,59
"10.21105/joss.03458","3458",74,44
"10.21105/joss.03722","3722",51,28
"10.21105/joss.01666","1666",77,55
"10.21105/joss.00106","106",4,3
"10.21105/joss.03574","3574",82,57
"10.21105/joss.06330","6330",72,46
"10.21105/joss.06889","6889",82,50
"10.21105/joss.01698","1698",38,21
"10.21105/joss.05464","5464",46,26
"10.21105/joss.03780","3780",105,68
"10.21105/joss.03859","3859",61,39
"10.21105/joss.05124","5124",79,46
"10.21105/joss.01096","1096",30,16
"10.21105/joss.01118","1118",33,24
"10.21105/joss.06063","6063",69,40
"10.21105/joss.00671","671",81,63
"10.21105/joss.01797","1797",96,58
"10.21105/joss.00092","92",22,20
"10.21105/joss.03641","3641",68,40
"10.21105/joss.06306","6306",61,35
"10.21105/joss.02103","2103",56,37
"10.21105/joss.00790","790",9,4
"10.21105/joss.03608","3608",119,81
"10.21105/joss.01341","1341",39,22
"10.21105/joss.06038","6038",72,41
"10.21105/joss.00045","45",14,14
"10.21105/joss.01844","1844",74,50
"10.21105/joss.02439","2439",42,25
"10.21105/joss.01693","1693",88,54
"10.21105/joss.04475","4475",67,41
"10.21105/joss.00984","984",29,20
"10.21105/joss.03941","3941",54,31
"10.21105/joss.00925","925",25,15
"10.21105/joss.03981","3981",71,42
"10.21105/joss.05391","5391",84,51
"10.21105/joss.01525","1525",64,42
"10.21105/joss.02614","2614",44,27
"10.21105/joss.04897","4897",91,56
"10.21105/joss.03994","3994",57,32
"10.21105/joss.00026","26",15,15
"10.21105/joss.03539","3539",67,43
"10.21105/joss.01896","1896",40,23
"10.21105/joss.03122","3122",67,47
